date,cbsa_code,city_description,population,actual_murder,actual_all_crimes,actual_index_violent
2015-06-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,29,23098.0,12.94047619047619
2015-06-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,9,8621.0,130.08333333333334
2015-06-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,7,7742.0,9.037037037037036
2015-06-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,9,11444.0,15.765432098765432
2015-06-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,12,14835.0,36.6
2015-06-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,15,14080.0,17.98780487804878
2015-06-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,32,20918.0,28.666666666666668
2015-07-01,12420,"Austin-Round Rock, TX Metro Area",2008606,2,6974.0,13.642857142857142
2015-07-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,10,8854.0,8.794117647058824
2015-07-01,17900,"Columbia, SC Metro Area",811574,5,3813.0,5.615384615384615
2015-07-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,27,23732.0,12.761904761904763
2015-07-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,7,9278.0,144.16666666666666
2015-07-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,8,8263.0,10.5
2015-07-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-07-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,19,15509.0,40.175
2015-07-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,13,14507.0,18.73170731707317
2015-07-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-08-01,12420,"Austin-Round Rock, TX Metro Area",2008606,2,6921.0,12.357142857142858
2015-08-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,15,9683.0,9.794117647058824
2015-08-01,17900,"Columbia, SC Metro Area",811574,8,3840.0,6.115384615384615
2015-08-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,22,23772.0,13.470238095238095
2015-08-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,20,9077.0,132.58333333333334
2015-08-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,11,8432.0,11.027777777777779
2015-08-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-08-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,24,15395.0,41.35
2015-08-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,10,14454.0,18.402439024390244
2015-08-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-09-01,12420,"Austin-Round Rock, TX Metro Area",2008606,3,7002.0,11.595238095238095
2015-09-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,16,9311.0,8.254901960784315
2015-09-01,17900,"Columbia, SC Metro Area",811574,8,3877.0,5.435897435897436
2015-09-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,19,22177.0,11.529761904761905
2015-09-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,14,8527.0,122.75
2015-09-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,10,7823.0,9.027777777777779
2015-09-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-09-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,15,15630.0,39.725
2015-09-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,17,14377.0,17.51219512195122
2015-09-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-10-01,12420,"Austin-Round Rock, TX Metro Area",2008606,1,6591.0,9.761904761904763
2015-10-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,9,9040.0,8.647058823529411
2015-10-01,17900,"Columbia, SC Metro Area",811574,5,3677.0,5.9743589743589745
2015-10-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,29,23245.0,12.232142857142858
2015-10-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,10,8974.0,129.91666666666666
2015-10-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,12,7840.0,8.842592592592593
2015-10-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-10-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,16,15636.0,37.75
2015-10-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,18,14901.0,19.29268292682927
2015-10-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-11-01,12420,"Austin-Round Rock, TX Metro Area",2008606,6,6642.0,12.095238095238095
2015-11-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,6,8487.0,8.029411764705882
2015-11-01,17900,"Columbia, SC Metro Area",811574,5,3416.0,4.794871794871795
2015-11-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,24,21640.0,11.464285714285714
2015-11-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,14,8193.0,104.83333333333333
2015-11-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,5,7494.0,8.222222222222221
2015-11-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-11-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,20,15237.0,34.425
2015-11-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,13,14011.0,16.597560975609756
2015-11-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-12-01,12420,"Austin-Round Rock, TX Metro Area",2008606,6,6841.0,11.261904761904763
